price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,Affordability,timestamp
13300000,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished,expensive,1
12250000,8960,4,4,4,yes,no,no,no,yes,3,no,furnished,expensive,2
12250000,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished,expensive,3
12215000,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished,expensive,4
11410000,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished,expensive,5
10850000,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished,expensive,6
10150000,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished,expensive,7
10150000,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished,expensive,8
9870000,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished,expensive,9
9800000,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished,expensive,10
9800000,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished,expensive,11
9681000,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished,expensive,12
9310000,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished,expensive,13
9240000,3500,4,2,2,yes,no,no,yes,no,2,no,furnished,expensive,14
9240000,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished,expensive,15
9100000,6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished,expensive,16
9100000,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished,expensive,17
8960000,8500,3,2,4,yes,no,no,no,yes,2,no,furnished,expensive,18
8890000,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished,expensive,19
8855000,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished,expensive,20
8750000,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished,expensive,21
8680000,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished,expensive,22
8645000,8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished,expensive,23
8645000,4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished,expensive,24
8575000,8800,3,2,2,yes,no,no,no,yes,2,no,furnished,expensive,25
8540000,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished,expensive,26
