price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,Affordability,timestamp
5950000,6420,3,1,1,yes,no,yes,no,yes,0,yes,furnished,expensive,1
5950000,7020,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished,moderate,2
5950000,6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished,moderate,3
5950000,7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished,moderate,4
5950000,6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished,moderate,5
5950000,7320,4,2,2,yes,no,no,no,no,0,no,furnished,moderate,6
5950000,6525,3,2,4,yes,no,no,no,no,1,no,furnished,moderate,7
5943000,15600,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,moderate,8
5880000,7160,3,1,1,yes,no,yes,no,no,2,yes,unfurnished,moderate,9
5880000,6500,3,2,3,yes,no,no,no,yes,0,no,unfurnished,moderate,10
5873000,5500,3,1,3,yes,yes,no,no,yes,1,no,furnished,moderate,11
5873000,11460,3,1,3,yes,no,no,no,no,2,yes,semi-furnished,moderate,12
5866000,4800,3,1,1,yes,yes,yes,no,no,0,no,unfurnished,moderate,13
5810000,5828,4,1,4,yes,yes,no,no,no,0,no,semi-furnished,moderate,14
5810000,5200,3,1,3,yes,no,no,no,yes,0,no,semi-furnished,moderate,15
5810000,4800,3,1,3,yes,no,no,no,yes,0,no,unfurnished,moderate,16
5803000,7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished,moderate,17
5775000,6000,3,2,4,yes,no,no,no,yes,0,no,unfurnished,moderate,18
5740000,5400,4,2,2,yes,no,no,no,yes,2,no,unfurnished,moderate,19
5740000,4640,4,1,2,yes,no,no,no,no,1,no,semi-furnished,moderate,20
5740000,5000,3,1,3,yes,no,no,no,yes,0,no,semi-furnished,moderate,21
5740000,6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished,moderate,22
5740000,5800,3,2,4,yes,no,no,no,yes,0,no,unfurnished,moderate,23
5652500,6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished,moderate,24
5600000,10500,4,2,2,yes,no,no,no,no,1,no,semi-furnished,moderate,25
5600000,4800,5,2,3,no,no,yes,yes,no,0,no,unfurnished,moderate,26
5600000,4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished,moderate,27
5600000,5000,3,1,4,yes,no,no,no,no,0,no,furnished,moderate,28
5600000,10500,2,1,1,yes,no,no,no,no,1,no,semi-furnished,moderate,29
5600000,5500,3,2,2,yes,no,no,no,no,1,no,semi-furnished,moderate,30
5600000,6360,3,1,3,yes,no,no,no,no,0,yes,semi-furnished,moderate,31
5600000,6600,4,2,1,yes,no,yes,no,no,0,yes,semi-furnished,moderate,32
5600000,5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished,moderate,33
5565000,4400,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished,moderate,34
5565000,5400,5,1,2,yes,yes,yes,no,yes,0,yes,furnished,moderate,35
5530000,3300,3,3,2,yes,no,yes,no,no,0,no,semi-furnished,moderate,36
5530000,3650,3,2,2,yes,no,no,no,no,2,no,semi-furnished,moderate,37
5530000,6100,3,2,1,yes,no,yes,no,no,2,yes,furnished,moderate,38
5523000,6900,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished,moderate,39
5495000,2817,4,2,2,no,yes,yes,no,no,1,no,furnished,moderate,40
5495000,7980,3,1,1,yes,no,no,no,no,2,no,semi-furnished,moderate,41
5460000,3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished,moderate,42
5460000,6210,4,1,4,yes,yes,no,no,yes,0,no,furnished,moderate,43
5460000,6100,3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished,moderate,44
5460000,6600,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished,moderate,45
5425000,6825,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished,moderate,46
5390000,6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished,moderate,47
5383000,6450,3,2,1,yes,yes,yes,yes,no,0,no,unfurnished,moderate,48
5320000,7800,3,1,1,yes,no,yes,no,yes,2,yes,unfurnished,moderate,49
5285000,4600,2,2,1,yes,no,no,no,yes,2,no,semi-furnished,moderate,50
5250000,4260,4,1,2,yes,no,yes,no,yes,0,no,furnished,moderate,51
5250000,6540,4,2,2,no,no,no,no,yes,0,no,semi-furnished,moderate,52
5250000,5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished,moderate,53
5250000,10269,3,1,1,yes,no,no,no,no,1,yes,semi-furnished,moderate,54
5250000,8400,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished,moderate,55
5250000,5300,4,2,1,yes,no,no,no,yes,0,yes,unfurnished,moderate,56
5250000,3800,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished,moderate,57
5250000,9800,4,2,2,yes,yes,no,no,no,2,no,semi-furnished,moderate,58
5250000,8520,3,1,1,yes,no,no,no,yes,2,no,furnished,moderate,59
5243000,6050,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished,moderate,60
5229000,7085,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished,moderate,61
5215000,3180,3,2,2,yes,no,no,no,no,2,no,semi-furnished,moderate,62
5215000,4500,4,2,1,no,no,yes,no,yes,2,no,semi-furnished,moderate,63
5215000,7200,3,1,2,yes,yes,yes,no,no,1,yes,furnished,moderate,64
5145000,3410,3,1,2,no,no,no,no,yes,0,no,semi-furnished,moderate,65
5145000,7980,3,1,1,yes,no,no,no,no,1,yes,semi-furnished,moderate,66
5110000,3000,3,2,2,yes,yes,yes,no,no,0,no,furnished,moderate,67
5110000,3000,3,1,2,yes,no,yes,no,no,0,no,unfurnished,moderate,68
5110000,11410,2,1,2,yes,no,no,no,no,0,yes,furnished,moderate,69
5110000,6100,3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished,moderate,70
5075000,5720,2,1,2,yes,no,no,no,yes,0,yes,unfurnished,moderate,71
5040000,3540,2,1,1,no,yes,yes,no,no,0,no,semi-furnished,moderate,72
5040000,7600,4,1,2,yes,no,no,no,yes,2,no,furnished,moderate,73
5040000,10700,3,1,2,yes,yes,yes,no,no,0,no,semi-furnished,moderate,74
5040000,6600,3,1,1,yes,yes,yes,no,no,0,yes,furnished,moderate,75
